"module_name","field_name","shortcode"
"Leads","First Name","[___Leads__First__Name___]"
"Leads","Last Name","[___Leads__Last__Name___]"
"Leads","Email","[___Leads__Email___]"
"Potentials","CUPS","[___Potentials__CUPS___]"
"Potentials","Pr&amp;oacute;xima intervenci&amp;oacute;n","[___Potentials__Pr&amp;oacute;xima__intervenci&amp;oacute;n___]"
"Potentials","N&amp;uacute;mero (Direcci&amp;oacute;n titular)","[___Potentials__N&amp;uacute;mero__(Direcci&amp;oacute;n__titular)___]"
"Potentials","Nombre del Titular","[___Potentials__Nombre__del__Titular___]"
"Potentials","CIF/NIF del Titular","[___Potentials__CIF/NIF__del__Titular___]"
"Potentials","Email de Facturacion","[___Potentials__Email__de__Facturacion___]"
"CustomModule4","Referencia TDL","[___CustomModule4__Referencia__TDL___]"
"CustomModule4","Tarifa de Acceso","[___CustomModule4__Tarifa__de__Acceso___]"
"CustomModule4","Precio Potencia - P1","[___CustomModule4__Precio__Potencia__-__P1___]"
"CustomModule4","Precio Potencia - P2","[___CustomModule4__Precio__Potencia__-__P2___]"
"CustomModule4","Precio Potencia - P3","[___CustomModule4__Precio__Potencia__-__P3___]"
"CustomModule4","Precio Potencia - P4","[___CustomModule4__Precio__Potencia__-__P4___]"
"CustomModule4","Precio Potencia - P5","[___CustomModule4__Precio__Potencia__-__P5___]"
"Potentials","Precio Potencia - P6","[___Potentials__Precio__Potencia__-__P6___]"
"CustomModule4","P1- Precio Energ&amp;iacute;a kWh/&amp;euro;","[___CustomModule4__P1-__Precio__Energ&amp;iacute;a__kWh/&amp;euro;___]"
"CustomModule4","P2- Precio Energ&amp;iacute;a kWh/&amp;euro;","[___CustomModule4__P2-__Precio__Energ&amp;iacute;a__kWh/&amp;euro;___]"
"CustomModule4","P3- Precio Energ&amp;iacute;a kWh/&amp;euro;","[___CustomModule4__P3-__Precio__Energ&amp;iacute;a__kWh/&amp;euro;___]"
"CustomModule4","P4- Precio Energ&amp;iacute;a kWh/&amp;euro;","[___CustomModule4__P4-__Precio__Energ&amp;iacute;a__kWh/&amp;euro;___]"
"CustomModule4","P5- Precio Energ&amp;iacute;a kWh/&amp;euro;","[___CustomModule4__P5-__Precio__Energ&amp;iacute;a__kWh/&amp;euro;___]"
"CustomModule4","P6- Precio Energ&amp;iacute;a kWh/&amp;euro;","[___CustomModule4__P6-__Precio__Energ&amp;iacute;a__kWh/&amp;euro;___]"
"CustomModule4","Codigo Unico","[___CustomModule4__Codigo__Unico___]"
"Potentials","Movil - Validez Legal","[___Potentials__Movil__-__Validez__Legal___]"
"Potentials","Movil 2 - Validez Legal","[___Potentials__Movil__2__-__Validez__Legal___]"
"Potentials","Codigo Unico","[___Potentials__Codigo__Unico___]"
